N:256
C:-2|A:334
C:-3|A:354
C:-4|A:384
C:-5|A:442
C:-7|A:499
C:-6|A:509
C:-8|A:550
C:-9|A:622
C:-10|A:687
C:-11|A:698
C:-12|A:773
C:-1|A:796
C:-13|A:808
C:-14|A:817
C:-17|A:929
C:-16|A:945
C:-15|A:948
C:-20|A:975
C:-26|A:1003
C:-19|A:1014
C:-18|A:1024
C:-24|A:1048
C:-22|A:1060
C:-21|A:1060
C:-23|A:1061
C:-27|A:1073
C:-25|A:1075
C:-29|A:1112
C:-28|A:1116
C:-31|A:1121
C:-30|A:1126
C:-33|A:1129
C:-32|A:1165
C:-34|A:1257
C:-36|A:1274
C:-35|A:1285
C:-37|A:1335
C:-39|A:1347
C:-38|A:1359
C:-40|A:1453
C:-41|A:1550
C:-42|A:1588
C:-43|A:1588
C:-44|A:1624
C:-45|A:1685
C:-46|A:1737
C:-110|A:1773
C:-111|A:1779
C:-102|A:1781
C:-109|A:1791
C:-106|A:1791
C:-107|A:1810
C:-108|A:1811
C:-114|A:1817
C:-116|A:1822
C:-113|A:1823
C:-120|A:1833
C:-48|A:1836
C:-117|A:1838
C:-100|A:1838
C:-115|A:1840
C:-118|A:1848
C:-122|A:1858
C:-104|A:1862
C:-121|A:1870
C:-112|A:1875
C:-47|A:1877
C:-105|A:1880
C:-49|A:1886
C:-50|A:1891
C:-119|A:1893
C:-103|A:1900
C:-98|A:1902
C:-99|A:1917
C:-97|A:1919
C:-124|A:1925
C:-96|A:1925
C:-101|A:1927
C:-128|A:1933
C:-94|A:1941
C:-127|A:1951
C:-123|A:1953
C:-95|A:1980
C:-125|A:1980
C:127|A:1989
C:-91|A:1997
C:-126|A:2012
C:125|A:2043
C:-92|A:2054
C:-51|A:2054
C:126|A:2055
C:-52|A:2064
C:-93|A:2077
C:123|A:2091
C:124|A:2103
C:-54|A:2113
C:-89|A:2123
C:-53|A:2128
C:122|A:2129
C:-88|A:2149
C:-87|A:2153
C:-90|A:2160
C:117|A:2170
C:-56|A:2179
C:-57|A:2179
C:-55|A:2181
C:121|A:2187
C:118|A:2199
C:-86|A:2209
C:-84|A:2211
C:-61|A:2227
C:-80|A:2229
C:120|A:2230
C:75|A:2234
C:-81|A:2237
C:78|A:2238
C:-82|A:2241
C:77|A:2245
C:-58|A:2246
C:-60|A:2249
C:-59|A:2251
C:-77|A:2259
C:-83|A:2265
C:-85|A:2269
C:82|A:2272
C:-62|A:2273
C:74|A:2280
C:73|A:2291
C:-76|A:2292
C:-79|A:2294
C:-68|A:2298
C:72|A:2298
C:-66|A:2300
C:76|A:2300
C:83|A:2305
C:85|A:2309
C:119|A:2312
C:68|A:2315
C:-71|A:2316
C:80|A:2316
C:114|A:2330
C:86|A:2330
C:-78|A:2336
C:-74|A:2336
C:67|A:2337
C:-72|A:2348
C:-65|A:2351
C:-67|A:2353
C:79|A:2355
C:116|A:2358
C:90|A:2361
C:113|A:2361
C:70|A:2367
C:-64|A:2370
C:112|A:2370
C:84|A:2372
C:106|A:2374
C:81|A:2381
C:-75|A:2383
C:-70|A:2384
C:66|A:2390
C:93|A:2391
C:-73|A:2393
C:89|A:2394
C:107|A:2396
C:62|A:2398
C:91|A:2399
C:65|A:2404
C:69|A:2406
C:109|A:2407
C:60|A:2410
C:63|A:2414
C:115|A:2415
C:110|A:2415
C:108|A:2431
C:-69|A:2431
C:92|A:2435
C:71|A:2435
C:88|A:2438
C:111|A:2439
C:-63|A:2441
C:96|A:2441
C:87|A:2452
C:100|A:2454
C:94|A:2460
C:99|A:2461
C:61|A:2461
C:64|A:2463
C:101|A:2470
C:95|A:2475
C:103|A:2475
C:97|A:2498
C:98|A:2508
C:104|A:2508
C:59|A:2528
C:102|A:2534
C:105|A:2550
C:58|A:2575
C:56|A:2634
C:55|A:2654
C:54|A:2665
C:57|A:2697
C:53|A:2712
C:51|A:2774
C:52|A:2883
C:49|A:2909
C:50|A:2955
C:48|A:3016
C:47|A:3022
C:46|A:3078
C:44|A:3152
C:45|A:3174
C:43|A:3319
C:42|A:3370
C:41|A:3378
C:39|A:3638
C:38|A:3666
C:40|A:3688
C:36|A:3971
C:37|A:3971
C:35|A:4156
C:1|A:4208
C:34|A:4329
C:33|A:4452
C:32|A:4642
C:31|A:4860
C:30|A:5074
C:29|A:5292
C:28|A:5519
C:27|A:5749
C:2|A:6215
C:26|A:6218
C:0|A:6224
C:25|A:6614
C:24|A:6935
C:23|A:7377
C:22|A:7830
C:21|A:8303
C:20|A:8826
C:19|A:9522
C:18|A:10109
C:3|A:10174
C:17|A:10819
C:16|A:11489
C:15|A:11781
C:4|A:12182
C:14|A:12575
C:5|A:13084
C:13|A:13366
C:6|A:13836
C:12|A:14834
C:10|A:14973
C:11|A:15521
C:8|A:15859
C:7|A:16157
C:9|A:16289
