N:256
C:95|A:166
C:-128|A:170
C:92|A:172
C:123|A:189
C:87|A:194
C:94|A:197
C:81|A:206
C:-120|A:213
C:-119|A:216
C:126|A:223
C:-115|A:235
C:124|A:239
C:125|A:248
C:89|A:252
C:74|A:264
C:90|A:276
C:96|A:291
C:-118|A:299
C:-126|A:318
C:113|A:318
C:-121|A:325
C:-116|A:329
C:88|A:330
C:91|A:332
C:118|A:336
C:122|A:340
C:-108|A:351
C:-110|A:356
C:68|A:356
C:86|A:367
C:-122|A:387
C:75|A:393
C:-124|A:397
C:93|A:405
C:-105|A:407
C:-125|A:424
C:-109|A:426
C:-117|A:427
C:-123|A:443
C:-107|A:446
C:-113|A:467
C:82|A:467
C:-106|A:474
C:-104|A:474
C:61|A:475
C:-112|A:483
C:119|A:486
C:63|A:492
C:107|A:495
C:76|A:504
C:69|A:526
C:65|A:543
C:78|A:556
C:121|A:564
C:103|A:565
C:72|A:566
C:106|A:579
C:85|A:580
C:-114|A:599
C:-99|A:606
C:79|A:618
C:71|A:647
C:59|A:657
C:120|A:660
C:84|A:676
C:-101|A:687
C:104|A:718
C:-102|A:759
C:-100|A:774
C:-98|A:780
C:58|A:804
C:-91|A:805
C:67|A:830
C:70|A:836
C:80|A:844
C:57|A:878
C:64|A:878
C:102|A:879
C:83|A:942
C:127|A:947
C:-96|A:960
C:-88|A:961
C:-86|A:971
C:-92|A:997
C:-89|A:1007
C:-83|A:1031
C:-97|A:1046
C:-87|A:1054
C:112|A:1055
C:-80|A:1064
C:-85|A:1069
C:-103|A:1076
C:33|A:1111
C:-84|A:1154
C:29|A:1173
C:27|A:1203
C:23|A:1203
C:109|A:1204
C:-94|A:1210
C:22|A:1242
C:28|A:1266
C:25|A:1273
C:19|A:1273
C:62|A:1294
C:26|A:1302
C:30|A:1332
C:37|A:1336
C:-81|A:1347
C:105|A:1379
C:-93|A:1390
C:-79|A:1406
C:98|A:1410
C:60|A:1443
C:115|A:1444
C:21|A:1462
C:55|A:1465
C:-90|A:1469
C:97|A:1474
C:53|A:1487
C:100|A:1501
C:-95|A:1538
C:-9|A:1567
C:-76|A:1583
C:54|A:1595
C:117|A:1597
C:-75|A:1608
C:-82|A:1616
C:-77|A:1617
C:20|A:1621
C:34|A:1623
C:77|A:1640
C:38|A:1647
C:31|A:1654
C:99|A:1654
C:36|A:1661
C:-78|A:1700
C:24|A:1742
C:18|A:1795
C:73|A:1799
C:35|A:1809
C:52|A:1849
C:-71|A:1871
C:-74|A:1883
C:17|A:1883
C:66|A:1883
C:15|A:1925
C:-12|A:1933
C:13|A:1952
C:-70|A:1960
C:-10|A:2004
C:-72|A:2133
C:-111|A:2158
C:39|A:2164
C:101|A:2218
C:14|A:2222
C:-69|A:2225
C:116|A:2298
C:-13|A:2332
C:111|A:2345
C:51|A:2369
C:44|A:2393
C:-11|A:2402
C:45|A:2461
C:50|A:2476
C:-73|A:2483
C:-14|A:2488
C:110|A:2507
C:108|A:2523
C:-15|A:2540
C:56|A:2663
C:114|A:2681
C:12|A:2847
C:43|A:3061
C:49|A:3088
C:16|A:3125
C:46|A:3129
C:7|A:3157
C:-16|A:3191
C:42|A:3410
C:40|A:3469
C:41|A:3750
C:11|A:3859
C:-25|A:4018
C:6|A:4052
C:-6|A:4301
C:5|A:4457
C:47|A:4661
C:48|A:4680
C:-66|A:4816
C:-62|A:4893
C:-68|A:5024
C:10|A:5421
C:-65|A:5617
C:-24|A:5891
C:-28|A:5930
C:9|A:5944
C:-5|A:6039
C:-63|A:6084
C:-27|A:6090
C:-23|A:6108
C:-60|A:6165
C:4|A:6282
C:-30|A:6349
C:-59|A:6383
C:-67|A:6406
C:-7|A:6427
C:-64|A:6567
C:3|A:6573
C:-17|A:6710
C:-21|A:7189
C:-29|A:7199
C:-26|A:7376
C:-54|A:7379
C:-61|A:7572
C:-8|A:8052
C:-18|A:8102
C:-58|A:8159
C:-4|A:8596
C:-19|A:9010
C:-22|A:9295
C:-56|A:9725
C:-20|A:9771
C:2|A:10027
C:-53|A:10307
C:-52|A:10460
C:-55|A:10621
C:8|A:11249
C:1|A:11306
C:-57|A:11449
C:-32|A:12622
C:-34|A:13404
C:-33|A:13574
C:-51|A:13904
C:-31|A:13933
C:-36|A:14603
C:-35|A:15006
C:-3|A:17374
C:-39|A:18448
C:32|A:19366
C:-37|A:19481
C:-38|A:20067
C:-127|A:20069
C:-40|A:22680
C:-50|A:23357
C:-49|A:24981
C:-41|A:25959
C:-45|A:29005
C:-48|A:29684
C:-44|A:30226
C:-43|A:31565
C:-47|A:31887
C:-46|A:33246
C:-2|A:36562
C:-42|A:40645
C:-1|A:63995
C:0|A:136513
